"Variable","Unit","N_StableCN","N_CNtransitMCI","StableCN_AdjMean_CI","CNtransitMCI_AdjMean_CI","Diff_CI","SE","PValue","EtaSq","Adj_R2","Miss_StableCN","Miss_CNtransitMCI"
"height","cm",194,25,"160.20 (159.46, 160.94)","162.57 (160.51, 164.63)","-2.37 (-4.56, -0.18)",1.11,0.0344,0.029,0.59,0,0
"weight","kg",194,25,"62.95 (61.86, 64.04)","63.54 (60.47, 66.60)","-0.59 (-3.85, 2.67)",1.66,0.7227,0.006,0.286,0,0
"Waistcir","cm",194,25,"83.11 (81.87, 84.36)","79.60 (76.11, 83.10)","3.51 (-0.21, 7.23)",1.89,0.0642,0.004,0.144,0,0
"Hipcir","cm",194,25,"93.67 (92.88, 94.46)","92.71 (90.50, 94.93)","0.96 (-1.40, 3.32)",1.2,0.4239,0,0.032,0,0
"bmi","kg/m2",194,25,"24.59 (24.21, 24.97)","24.01 (22.95, 25.07)","0.58 (-0.54, 1.71)",0.57,0.308,0.005,-0.011,0,0
"ac","",194,25,"30.12 (29.80, 30.44)","30.06 (29.17, 30.95)","0.06 (-0.89, 1.00)",0.48,0.9086,0,0.069,0,0
"whr","",194,25,"0.89 (0.88, 0.89)","0.90 (0.87, 0.92)","-0.01 (-0.03, 0.01)",0.01,0.4145,0.001,0.013,0,0
"pbcm","%",194,25,"43.53 (43.00, 44.06)","44.54 (43.05, 46.03)","-1.01 (-2.60, 0.57)",0.8,0.2097,0.019,0.465,0,0
"pbf","%",194,25,"32.32 (31.50, 33.14)","30.85 (28.55, 33.16)","1.47 (-0.99, 3.92)",1.25,0.2408,0.018,0.435,0,0
"bmr","kcal",194,25,"1289.76 (1277.13, 1302.39)","1318.15 (1282.75, 1353.56)","-28.39 (-66.07, 9.29)",19.12,0.139,0.022,0.718,0,0
"tbw_ffm","%",194,25,"73.85 (73.81, 73.88)","73.83 (73.73, 73.93)","0.02 (-0.08, 0.12)",0.05,0.711,0,0.124,0,0
"ecw_tbw","%",194,25,"39.22 (39.13, 39.30)","39.09 (38.84, 39.33)","0.13 (-0.13, 0.39)",0.13,0.3309,0.009,0.163,0,0
"PA50_total","degree",194,25,"5.14 (5.07, 5.22)","5.22 (5.02, 5.41)","-0.07 (-0.28, 0.14)",0.11,0.5096,0.009,0.336,0,0
